"id","country","grant_year","year_actual","cowcode","grant","recipient","subgrantee","prevention","protection","prosecution","research","amount","region1","region2","recipient_type"
39,"Africa",2006,"2006-01-01",NA,1,"Population Media Ceter",NA,1,0,0,0,296000,"West Africa",NA,"NPO"
40,"Africa",2007,"2007-01-01",NA,1,"IOM",NA,1,1,0,1,200000,"Africa Regional",NA,"IGO"
41,"Africa",2007,"2007-01-01",NA,1,"IOM",NA,1,1,0,1,110000,"SADC Region",NA,"IGO"
42,"Africa",2007,"2007-01-01",NA,1,"IOM",NA,1,1,0,1,380000,"Africa Regional",NA,"IGO"
43,"Africa",2007,"2007-01-01",NA,1,"IOM",NA,1,1,0,0,300000,"West Africa",NA,"IGO"
44,"Africa",2008,"2008-01-01",NA,1,"Human Rights Trust of Southern Africa (SAHRIT)",NA,0,0,1,1,300000,"Southern Africa",NA,"NPO"
45,"Africa",2008,"2008-01-01",NA,1,"IOM",NA,1,1,0,0,79931,"African Union",NA,"IGO"
46,"Africa",2008,"2008-01-01",NA,1,"IOM",NA,1,1,0,1,205000,"SADC Region",NA,"IGO"
47,"Africa",2008,"2008-01-01",NA,1,"ILO/IPEC",NA,1,1,0,1,4.75e+06,"Southern Africa",NA,"IGO"
48,"Africa",2008,"2008-01-01",NA,1,"IOM",NA,1,1,0,1,159631,"Africa Regional",NA,"IGO"
49,"Africa",2008,"2008-01-01",NA,1,"IOM",NA,1,1,0,1,310000,"West Africa",NA,"IGO"
50,"Africa",2009,"2009-01-01",NA,1,"IOM",NA,1,1,0,1,60000,"African Union",NA,"IGO"
51,"Africa",2009,"2009-01-01",NA,1,"Tulane University",NA,1,0,0,1,1.2e+06,"West Africa",NA,"University"
52,"Africa",2009,"2009-01-01",NA,1,"ILO/IPEC",NA,1,1,0,1,7.6e+06,"West Africa",NA,"IGO"
53,"Africa",2009,"2009-01-01",NA,1,"Heartland Alliance for Human Needs and Human Rights",NA,0,1,0,0,900000,"Africa Regional",NA,"NPO"
54,"Africa",2009,"2009-01-01",NA,1,"World Hope International",NA,1,0,0,0,200000,"Southern Africa",NA,"NPO"
55,"Africa",2009,"2009-01-01",NA,1,"IOM",NA,1,1,0,1,72000,"SADC Region",NA,"IGO"
56,"Africa",2009,"2009-01-01",NA,1,"IOM",NA,1,1,0,1,170000,"Central Africa",NA,"IGO"
57,"Africa",2009,"2009-01-01",NA,1,"IOM",NA,1,1,0,1,280000,"West Africa",NA,"IGO"
58,"Africa",2010,"2010-01-01",NA,1,"IOM",NA,1,1,0,0,NA,"Southern Africa",NA,"IGO"
59,"Africa",2010,"2010-01-01",NA,1,"ILO/IPEC",NA,1,1,0,1,NA,"West Africa",NA,"IGO"
60,"Africa",2010,"2010-01-01",NA,1,"ILO/IPEC",NA,1,1,0,1,NA,NA,NA,"IGO"
61,"Africa",2011,"2011-01-01",NA,1,"UNODC",NA,0,0,1,0,200000,"SADC Region",NA,"IGO"
62,"Africa",2012,"2012-01-01",NA,1,"UNODC",NA,0,0,1,0,550000,"SADC Region",NA,"IGO"
63,"Africa",2013,"2013-01-01",NA,1,"UNODC",NA,0,1,1,1,700000,"Africa Regional","Europe/Eurasia","IGO"
64,"Africa",2013,"2013-01-01",NA,1,"Solidarity Center",NA,1,1,1,0,500000,"Africa Regional",NA,"NPO"
65,"Africa",2013,"2013-01-01",NA,1,"World Hope International (WHI)",NA,1,1,0,0,500000,"Africa Regional",NA,"NPO"
66,"Africa",2014,"2014-01-01",NA,1,"UNODC",NA,0,0,1,0,36000,"Angola, Malawi, Namibia, Seychelles, South Africa, and Zimbabwe",NA,"IGO"
67,"Albania",2001,"2001-01-01",339,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,""
68,"Albania",2002,"2002-01-01",339,1,"NGOs: Children�s Rights Center of Albania, Useful to Albania Women, Women�s Advocacy Center (Tirana), Council �Social Services Associations� (Durres), Women�s Forum of Elbasan, 
 Women 2000 (Tirana), Counseling Center for Women and Girls (Pogradec), Women in Development (Shkodra)",NA,1,1,0,0,NA,NA,NA,"NGO"
69,"Albania",2002,"2002-01-01",339,1,"Government of Albania",NA,1,0,1,0,NA,NA,NA,"Government"
70,"Albania",2002,"2002-01-01",339,1,"IOM",NA,0,1,0,0,NA,NA,NA,"IGO"
71,"Albania",2002,"2002-01-01",339,1,"OSCE/Save the Children/Hearth",NA,0,1,0,0,NA,NA,NA,"IGO"
72,"Albania",2002,"2002-01-01",339,1,"OSCE/Reflexione",NA,0,1,0,0,NA,NA,NA,"IGO"
73,"Albania",2002,"2002-01-01",339,1,"Hearth",NA,1,0,0,0,NA,NA,NA,"NPO"
74,"Albania",2002,"2002-01-01",339,1,"Counseling Center for Abused Women and Girls in the districts of Berat and Shkodra",NA,0,1,0,0,NA,NA,NA,"NPO"
75,"Albania",2003,"2003-01-01",339,1,"DOJ/ICITAP",NA,0,0,1,0,150000,NA,NA,"Government"
76,"Albania",2003,"2003-01-01",339,1,"DOJ/OPDAT",NA,0,0,1,0,50000,NA,NA,"Government"
77,"Albania",2003,"2003-01-01",339,1,"DOJ/OPDAT & ICITAP",NA,0,0,1,0,975000,NA,NA,"Government"
78,"Albania",2003,"2003-01-01",339,1,"NGOs: Women of Korca, Independent Forum for the Albanian Woman, NGO Forum - Diber District, Balkans Youth Link - Albania",NA,1,1,0,0,59015,NA,NA,"NGO"
79,"Albania",2003,"2003-01-01",339,1,"Terre des Hommes",NA,1,1,0,0,500000,NA,NA,"NPO"
80,"Albania",2003,"2003-01-01",339,1,"Terre des Hommes",NA,1,1,0,0,300000,NA,NA,"NPO"
81,"Albania",2003,"2003-01-01",339,1,"Creative Associates",NA,1,1,0,0,1.117e+06,NA,NA,"Private Firm"
82,"Albania",2003,"2003-01-01",339,1,"Chemonics International, Inc",NA,0,1,1,0,500000,NA,NA,"Private Firm"
83,"Albania",2003,"2003-01-01",339,1,"Meridian International Center",NA,1,1,0,0,95844,NA,NA,"NPO"
84,"Albania",2004,"2004-01-01",339,1,"Council ""Social Services Association""",NA,1,1,0,0,16022,NA,NA,"NPO"
85,"Albania",2004,"2004-01-01",339,1,"Vlora Women Health",NA,1,0,0,0,17100,NA,NA,"NPO"
86,"Albania",2004,"2004-01-01",339,1,"Helping Women of Puka Association",NA,1,1,0,0,15550,NA,NA,"NPO"
87,"Albania",2004,"2004-01-01",339,1,"Women's Advocacy Center",NA,0,1,1,0,19972,NA,NA,"NPO"
88,"Albania",2004,"2004-01-01",339,1,"Association of Albanian Women and Girls",NA,0,1,0,0,13960,NA,NA,"NPO"
89,"Albania",2004,"2004-01-01",339,1,"Institute for Gender Applied Policies",NA,1,0,0,0,14957,NA,NA,"NPO"
90,"Albania",2004,"2004-01-01",339,1,"International Criminal Investigative Training",NA,0,1,0,0,200000,NA,NA,"IGO"
91,"Albania",2004,"2004-01-01",339,1,"OPDAT",NA,0,1,0,0,150000,NA,NA,"Government"
92,"Albania",2004,"2004-01-01",339,1,"Terre des Hommes",NA,1,1,0,0,550000,NA,NA,"NPO"
93,"Albania",2004,"2004-01-01",339,1,"Creative Associates",NA,1,1,0,0,1.5e+06,NA,NA,"Private Firm"
94,"Albania",2005,"2005-01-01",339,1,"Terre des Hommes","Arsis",1,1,0,1,500000,NA,NA,"NPO"
95,"Albania",2005,"2005-01-01",339,1,"Creative Associates","23 subgrantees",1,1,0,1,1.88597e+06,NA,NA,"Private Firm"
96,"Albania",2006,"2006-01-01",339,1,"Creative Associates",NA,1,1,0,1,1.33401e+06,NA,NA,"Private Firm"
97,"Albania",2006,"2006-01-01",339,1,"Terre des Hommes",NA,1,1,0,1,460000,NA,NA,"NPO"
98,"Albania",2007,"2007-01-01",339,1,"Terre des Hommes",NA,1,1,0,1,443000,NA,NA,"NPO"
99,"Albania",2007,"2007-01-01",339,1,"Creative Associates",NA,1,1,0,1,1.48e+06,NA,NA,"Private Firm"
100,"Albania",2008,"2008-01-01",339,1,"Terre des Hommes",NA,1,1,0,1,396989,NA,NA,"NPO"
101,"Albania",2008,"2008-01-01",339,1,"Creative Associates",NA,1,1,0,1,765987,NA,NA,"Private Firm"
102,"Albania",2009,"2009-01-01",339,1,"Women in Development Shkoder",NA,1,0,0,0,16770,NA,"Laos","NPO"
103,"Albania",2009,"2009-01-01",339,1,"Terre des Hommes, Creative Associates",NA,1,1,0,0,500000,NA,NA,"NPO"
104,"Albania",2010,"2010-01-01",339,1,"World Vision",NA,0,1,0,0,450000,NA,NA,"NPO"
105,"Albania",2011,"2011-01-01",339,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
106,"Albania",2012,"2012-01-01",339,1,"IOM",NA,0,1,1,0,500000,NA,"Global","IGO"
107,"Albania",2013,"2013-01-01",339,0,NA,NA,NA,NA,NA,NA,0,NA,"Global",""
108,"Albania",2014,"2014-01-01",339,1,"Catholic Relief Services (CRS)",NA,0,1,1,0,450000,NA,NA,"NPO"
109,"Algeria",2001,"2001-01-01",615,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
110,"Algeria",2002,"2002-01-01",615,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
111,"Algeria",2003,"2003-01-01",615,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
112,"Algeria",2004,"2004-01-01",615,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
113,"Algeria",2005,"2005-01-01",615,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
114,"Algeria",2006,"2006-01-01",615,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
115,"Algeria",2007,"2007-01-01",615,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
116,"Algeria",2008,"2008-01-01",615,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
117,"Algeria",2009,"2009-01-01",615,1,"Comitato Internazionale per Sviluppo dei Popoli",NA,1,1,1,0,62000,NA,NA,"NGO"
118,"Algeria",2009,"2009-01-01",615,1,"DOJ/OPDAT",NA,0,0,1,0,136000,NA,NA,"Government"
119,"Algeria",2010,"2010-01-01",615,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
120,"Algeria",2011,"2011-01-01",615,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
121,"Algeria",2012,"2012-01-01",615,0,NA,NA,NA,NA,NA,NA,0,NA,"Global",""
122,"Algeria",2013,"2013-01-01",615,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
123,"Algeria",2014,"2014-01-01",615,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
124,"Angola",2001,"2001-01-01",540,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
125,"Angola",2002,"2002-01-01",540,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
126,"Angola",2003,"2003-01-01",540,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
127,"Angola",2004,"2004-01-01",540,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
128,"Angola",2005,"2005-01-01",540,1,"Embassy PAS","Lar Kujole",0,1,0,0,12000,NA,NA,"Government"
129,"Angola",2006,"2006-01-01",540,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
130,"Angola",2007,"2007-01-01",540,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
131,"Angola",2008,"2008-01-01",540,1,"IOM",NA,0,1,1,0,290000,NA,"East Asia and Pacific Islands Regional","IGO"
132,"Angola",2009,"2009-01-01",540,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
133,"Angola",2010,"2010-01-01",540,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
134,"Angola",2011,"2011-01-01",540,1,"IOM",NA,0,0,1,0,273000,NA,"East Asia and Pacific Islands Regional","IGO"
135,"Angola",2012,"2012-01-01",540,0,NA,NA,NA,NA,NA,NA,0,NA,"South Asia Regional",""
136,"Angola",2013,"2013-01-01",540,0,NA,NA,NA,NA,NA,NA,0,NA,"Latin America and Caribbean Regional",""
137,"Angola",2014,"2014-01-01",540,0,NA,NA,NA,NA,NA,NA,0,NA,"Central America",""
138,"Antigua&Barbuda",2001,"2001-01-01",58,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
139,"Antigua&Barbuda",2002,"2002-01-01",58,0,NA,NA,NA,NA,NA,NA,0,NA,"Latin America and Caribbean Regional",""
140,"Antigua&Barbuda",2003,"2003-01-01",58,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
141,"Antigua&Barbuda",2004,"2004-01-01",58,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
142,"Antigua&Barbuda",2005,"2005-01-01",58,0,NA,NA,NA,NA,NA,NA,0,NA,"South Asia Regional",""
143,"Antigua&Barbuda",2006,"2006-01-01",58,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
144,"Antigua&Barbuda",2007,"2007-01-01",58,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
145,"Antigua&Barbuda",2008,"2008-01-01",58,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
146,"Antigua&Barbuda",2009,"2009-01-01",58,0,NA,NA,NA,NA,NA,NA,0,NA,"South Asian and Gulf Countries",""
147,"Antigua&Barbuda",2010,"2010-01-01",58,0,NA,NA,NA,NA,NA,NA,0,NA,"Global",""
148,"Antigua&Barbuda",2011,"2011-01-01",58,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
149,"Antigua&Barbuda",2012,"2012-01-01",58,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
150,"Antigua&Barbuda",2013,"2013-01-01",58,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
151,"Antigua&Barbuda",2014,"2014-01-01",58,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
152,"Argentina",2001,"2001-01-01",160,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
153,"Argentina",2002,"2002-01-01",160,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
154,"Argentina",2003,"2003-01-01",160,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
155,"Argentina",2004,"2004-01-01",160,1,"IOM",NA,1,1,1,0,173656,NA,NA,"IGO"
156,"Argentina",2005,"2005-01-01",160,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
157,"Argentina",2006,"2006-01-01",160,1,"IOM",NA,1,1,0,1,175000,NA,NA,"IGO"
158,"Argentina",2007,"2007-01-01",160,1,"IOM",NA,1,0,0,0,150000,NA,NA,"IGO"
159,"Argentina",2008,"2008-01-01",160,0,NA,NA,NA,NA,NA,NA,0,NA,"East Asia and Pacific Islands Regional",""
160,"Argentina",2009,"2009-01-01",160,1,"Maria de los Angeles Foundation",NA,0,0,1,0,62000,NA,NA,"NPO"
161,"Argentina",2009,"2009-01-01",160,1,"UNIDOS",NA,0,0,1,0,97000,NA,NA,"IGO"
162,"Argentina",2010,"2010-01-01",160,1,"International Association of Women Judges",NA,0,1,1,0,500000,NA,NA,"NPO"
163,"Argentina",2010,"2010-01-01",160,1,"IOM",NA,0,1,1,0,71300,NA,NA,"IGO"
164,"Argentina",2010,"2010-01-01",160,1,"Maria de los Angeles Foundation",NA,0,1,0,0,11200,NA,NA,"NPO"
165,"Argentina",2010,"2010-01-01",160,1,"Humphrey Fellow/IIE",NA,1,1,1,1,70000,NA,NA,"Academic Fellowship"
166,"Argentina",2011,"2011-01-01",160,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
167,"Argentina",2012,"2012-01-01",160,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
168,"Argentina",2013,"2013-01-01",160,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
169,"Argentina",2014,"2014-01-01",160,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
170,"Armenia",2001,"2001-01-01",371,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
171,"Armenia",2002,"2002-01-01",371,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
172,"Armenia",2003,"2003-01-01",371,1,"New York University","Cimera",1,0,0,0,150000,NA,NA,"University"
173,"Armenia",2004,"2004-01-01",371,1,"Government of Armenia",NA,1,1,1,0,200000,NA,NA,"Government"
174,"Armenia",2005,"2005-01-01",371,1,"EGO Young Psychologists NGO",NA,1,0,0,0,17525,NA,NA,"NGO"
175,"Armenia",2005,"2005-01-01",371,1,"IOM",NA,1,1,0,0,200000,NA,NA,"IGO"
176,"Armenia",2006,"2006-01-01",371,1,"IO","IOM and/or OSCE",1,1,1,0,200000,NA,NA,"NPO"
177,"Armenia",2007,"2007-01-01",371,1,"Post","UMCOR",0,0,1,0,133985,NA,NA,"NPO"
178,"Armenia",2008,"2008-01-01",371,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
179,"Armenia",2009,"2009-01-01",371,1,"United Methodist Committee on Relief",NA,1,1,0,0,200000,NA,NA,"NPO"
180,"Armenia",2009,"2009-01-01",371,1,"World Vision",NA,1,1,0,0,235000,NA,NA,"NPO"
181,"Armenia",2010,"2010-01-01",371,1,"Stepanavan Youth Center",NA,1,0,0,0,17095,NA,NA,"NPO"
182,"Armenia",2010,"2010-01-01",371,1,"NGOs",NA,1,1,1,0,300000,NA,NA,"NGO"
183,"Armenia",2011,"2011-01-01",371,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
184,"Armenia",2012,"2012-01-01",371,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
185,"Armenia",2013,"2013-01-01",371,1,"Organization for Security and Cooperation in Europe (OSCE)",NA,0,0,0,1,75000,NA,NA,"IGO"
186,"Armenia",2014,"2014-01-01",371,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
187,"Australia",2001,"2001-01-01",900,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
188,"Australia",2002,"2002-01-01",900,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
189,"Australia",2003,"2003-01-01",900,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
190,"Australia",2004,"2004-01-01",900,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
191,"Australia",2005,"2005-01-01",900,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
192,"Australia",2006,"2006-01-01",900,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
193,"Australia",2007,"2007-01-01",900,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
194,"Australia",2008,"2008-01-01",900,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
195,"Australia",2009,"2009-01-01",900,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
196,"Australia",2010,"2010-01-01",900,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
197,"Australia",2011,"2011-01-01",900,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
198,"Australia",2012,"2012-01-01",900,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
199,"Australia",2013,"2013-01-01",900,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
200,"Australia",2014,"2014-01-01",900,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
201,"Austria",2001,"2001-01-01",305,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
202,"Austria",2002,"2002-01-01",305,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
203,"Austria",2003,"2003-01-01",305,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
204,"Austria",2004,"2004-01-01",305,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
205,"Austria",2005,"2005-01-01",305,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
206,"Austria",2006,"2006-01-01",305,1,"Mr. Robert Scaife","IIE - Fulbright US Student",0,0,0,1,2137,NA,NA,"Academic Fellowship"
207,"Austria",2007,"2007-01-01",305,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
208,"Austria",2008,"2008-01-01",305,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
209,"Austria",2009,"2009-01-01",305,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
210,"Austria",2010,"2010-01-01",305,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
211,"Austria",2011,"2011-01-01",305,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
212,"Austria",2012,"2012-01-01",305,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
213,"Austria",2013,"2013-01-01",305,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
214,"Austria",2014,"2014-01-01",305,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
215,"Azerbaijan",2001,"2001-01-01",373,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
216,"Azerbaijan",2002,"2002-01-01",373,0,NA,NA,NA,NA,NA,NA,0,NA,NA,""
217,"Azerbaijan",2003,"2003-01-01",373,1,"Clean World Social Union for Civil Rights",NA,1,0,0,0,22684,NA,NA,"NPO"
218,"Azerbaijan",2003,"2003-01-01",373,1,"International Center for Journalists","Baku Press Club",1,0,0,0,14619,NA,NA,"NPO"
219,"Azerbaijan",2004,"2004-01-01",373,1,"Government of Armenia",NA,1,1,1,0,200000,NA,NA,"Government"
220,"Azerbaijan",2004,"2004-01-01",373,1,"IOM","American Bar Association/Central European and Eurasian Law Initiative (ABA/CEELI), Embassy Resident Legal Advisor",1,1,1,0,250000,NA,NA,"IGO"
221,"Azerbaijan",2004,"2004-01-01",373,1,"Institute of Peace and Democracy",NA,1,1,0,0,4956,NA,"West Africa","NPO"
222,"Azerbaijan",2004,"2004-01-01",373,1,"IOM",NA,1,1,1,0,250000,NA,NA,"IGO"
223,"Azerbaijan",2004,"2004-01-01",373,1,"NUR Civic Education Center",NA,1,0,0,0,4956,NA,NA,"NGO"
224,"Azerbaijan",2004,"2004-01-01",373,1,"Internews Azerbaijan Public Association",NA,1,0,0,0,5000,NA,NA,"NPO"
225,"Azerbaijan",2005,"2005-01-01",373,1,"DOJ/OPDAT",NA,1,1,1,0,225000,NA,NA,"Government"
226,"Azerbaijan",2005,"2005-01-01",373,1,"DOJ/OPDAT",NA,1,1,1,0,90000,NA,NA,"Government"
227,"Azerbaijan",2005,"2005-01-01",373,1,"Post and ICITAP",NA,1,1,1,0,250000,NA,NA,"NPO"
228,"Azerbaijan",2006,"2006-01-01",373,1,"IO","OSCE and CEELI",1,1,1,0,100000,NA,NA,"IGO"
229,"Azerbaijan",2007,"2007-01-01",373,1,"Caspian Partnership for Future Public Union",NA,1,0,0,0,7269,NA,NA,"NPO"
230,"Azerbaijan",2008,"2008-01-01",373,1,"Azerbaijan Lawyers Foundation (ALF)",NA,1,0,1,0,83000,NA,NA,"NPO"
231,"Azerbaijan",2009,"2009-01-01",373,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,""
232,"Azerbaijan",2010,"2010-01-01",373,1,"American Bar Association Fund for Justice",NA,1,1,1,0,600000,NA,"Solomon Islands","NGO"
233,"Azerbaijan",2010,"2010-01-01",373,1,"IOM",NA,0,1,0,0,110000,NA,NA,"IGO"
234,"Azerbaijan",2011,"2011-01-01",373,0,NA,NA,NA,NA,NA,NA,0,NA,"East Africa",""
